"Hole_Id","Project_Id","Easting","Northing","Elevation","Td","CAMPANA","Drill_Type","Start_Date","End_Date","HL_MOD2025","Collar_Type","Start_Year"
"AA13","QE",327121.43100000,8108683.24400000,3582.51000000,273.86000000,"MP72","DDH",1/1/1972 00:00:00,7/1/1972 00:00:00,1,"DDH",1972
"AA13A","QE",326990.48800000,8108056.78000000,3659.85600000,142.50000000,"INFILL","DDH",17/4/2014 00:00:00,20/4/2014 00:00:00,1,"DDH",2014
"AA15","QE",327258.31100000,8108664.83300000,3560.46100000,420.01000000,"MP72","DDH",1/1/1972 00:00:00,11/1/1972 00:00:00,1,"DDH",1972
"AA17","QE",327357.05800000,8108678.81900000,3556.20100000,312.66000000,"MP72","DDH",1/1/1972 00:00:00,8/1/1972 00:00:00,1,"DDH",1972
"AD23-0128","QE",328079.99400000,8107760.07900000,3779.71000000,60.00000000,"AD2023","RC",26/9/2023 00:00:00,26/9/2023 00:00:00,1,"DDH",2023
"AD23-0130","QE",328120.06100000,8107759.92000000,3779.57100000,60.00000000,"AD2023","RC",25/9/2023 00:00:00,25/9/2023 00:00:00,1,"DDH",2023
"AD23-0131","QE",328140.13700000,8107759.88300000,3779.76400000,60.00000000,"AD2023","RC",25/9/2023 00:00:00,25/9/2023 00:00:00,1,"DDH",2023
"AD23-0132","QE",328160.12300000,8107760.01100000,3779.70300000,60.00000000,"AD2023","RC",25/9/2023 00:00:00,26/9/2023 00:00:00,1,"DDH",2023
"AD23-0136","QE",328159.88500000,8107780.05400000,3779.59200000,60.00000000,"AD2023","RC",24/9/2023 00:00:00,24/9/2023 00:00:00,1,"DDH",2023
"AD23-0137","QE",328139.98900000,8107779.97400000,3779.49400000,60.00000000,"AD2023","RC",24/9/2023 00:00:00,24/9/2023 00:00:00,1,"DDH",2023
"AD23-0138","QE",328120.08000000,8107780.27400000,3779.70300000,60.00000000,"AD2023","RC",25/9/2023 00:00:00,25/9/2023 00:00:00,1,"DDH",2023
"AD23-0139","QE",328100.08100000,8107780.20100000,3779.71700000,60.00000000,"AD2023","RC",23/9/2023 00:00:00,23/9/2023 00:00:00,1,"DDH",2023
"AD23-0142","QE",328060.09400000,8107800.12000000,3779.30900000,60.00000000,"AD2023","RC",23/9/2023 00:00:00,23/9/2023 00:00:00,1,"DDH",2023
"AD23-0143","QE",328079.87400000,8107800.00200000,3779.60300000,60.00000000,"AD2023","RC",23/9/2023 00:00:00,23/9/2023 00:00:00,1,"DDH",2023
"AD23-0144","QE",328100.06600000,8107800.01900000,3779.72600000,60.00000000,"AD2023","RC",23/9/2023 00:00:00,23/9/2023 00:00:00,1,"DDH",2023
"AD23-0145","QE",328120.17500000,8107800.07900000,3779.75300000,60.00000000,"AD2023","RC",23/9/2023 00:00:00,23/9/2023 00:00:00,1,"DDH",2023
"AD23-0146","QE",328140.29000000,8107799.99100000,3779.56400000,60.00000000,"AD2023","RC",24/9/2023 00:00:00,24/9/2023 00:00:00,1,"DDH",2023
"AD23-0147","QE",328159.77500000,8107799.76800000,3779.57200000,60.00000000,"AD2023","RC",25/9/2023 00:00:00,25/9/2023 00:00:00,1,"DDH",2023
"AD23-0158","QE",328079.76300000,8107819.92100000,3779.76000000,60.00000000,"AD2023","RC",22/9/2023 00:00:00,22/9/2023 00:00:00,1,"DDH",2023
"AD23-0159","QE",328059.77500000,8107819.95400000,3779.37700000,60.00000000,"AD2023","RC",22/9/2023 00:00:00,22/9/2023 00:00:00,1,"DDH",2023
"AD23-0312","QE",326939.83400000,8107999.82900000,3599.71900000,60.00000000,"AD2023","RC",11/9/2023 00:00:00,11/9/2023 00:00:00,1,"DDH",2023
"AD23-0314","QE",326978.71500000,8108000.11200000,3599.67700000,60.00000000,"AD2023","RC",13/9/2023 00:00:00,14/9/2023 00:00:00,1,"DDH",2023
"AD23-0463","QE",327497.15000000,8107647.04600000,3689.61800000,60.00000000,"AD2023","RC",16/12/2023 00:00:00,16/12/2023 00:00:00,1,"DDH",2023
"AD23-0464","QE",327475.85200000,8107649.71700000,3689.69100000,60.00000000,"AD2023","RC",16/12/2023 00:00:00,17/12/2023 00:00:00,1,"DDH",2023
"AD23-0466","QE",327431.47000000,8107654.63100000,3689.82300000,60.00000000,"AD2023","RC",20/12/2023 00:00:00,20/12/2023 00:00:00,1,"DDH",2023
"AD23-0467","QE",327411.75600000,8107655.21800000,3689.82700000,60.00000000,"AD2023","RC",20/12/2023 00:00:00,20/12/2023 00:00:00,1,"DDH",2023
"AD23-0468","QE",327391.12200000,8107654.35500000,3689.94600000,60.00000000,"AD2023","RC",21/12/2023 00:00:00,21/12/2023 00:00:00,1,"DDH",2023
"AD23-0480","QE",327342.41500000,8107672.78900000,3690.40200000,60.00000000,"AD2023","RC",8/12/2023 00:00:00,8/12/2023 00:00:00,1,"DDH",2023
"AD23-0481","QE",327363.74300000,8107674.15900000,3690.08200000,60.00000000,"AD2023","RC",8/12/2023 00:00:00,8/12/2023 00:00:00,1,"DDH",2023
"AD23-0482","QE",327381.53800000,8107675.19100000,3689.69200000,60.00000000,"AD2023","RC",8/12/2023 00:00:00,8/12/2023 00:00:00,1,"DDH",2023
"AD23-0483","QE",327402.17900000,8107676.13900000,3689.54700000,60.00000000,"AD2023","RC",8/12/2023 00:00:00,9/12/2023 00:00:00,1,"DDH",2023
"AD23-0484","QE",327422.67800000,8107679.20200000,3689.53200000,60.00000000,"AD2023","RC",9/12/2023 00:00:00,11/12/2023 00:00:00,1,"DDH",2023
"AD23-0485","QE",327438.05200000,8107679.76400000,3689.73000000,60.00000000,"AD2023","RC",11/12/2023 00:00:00,11/12/2023 00:00:00,1,"DDH",2023
"AD23-0486","QE",327462.23000000,8107680.18300000,3689.75200000,60.00000000,"AD2023","RC",11/12/2023 00:00:00,11/12/2023 00:00:00,1,"DDH",2023
"AD23-0487","QE",327478.11100000,8107679.69200000,3689.95300000,60.00000000,"AD2023","RC",12/12/2023 00:00:00,12/12/2023 00:00:00,1,"DDH",2023
"AD23-0495","QE",327459.25500000,8107696.41000000,3689.96000000,60.00000000,"AD2023","RC",17/12/2023 00:00:00,20/12/2023 00:00:00,1,"DDH",2023
"AD23-0496","QE",327443.23600000,8107699.36900000,3689.88300000,60.00000000,"AD2023","RC",16/12/2023 00:00:00,16/12/2023 00:00:00,1,"DDH",2023
"AD23-0497","QE",327423.21600000,8107701.12300000,3689.59000000,60.00000000,"AD2023","RC",15/12/2023 00:00:00,15/12/2023 00:00:00,1,"DDH",2023
"AD23-0498","QE",327403.84600000,8107699.95000000,3690.04700000,60.00000000,"AD2023","RC",15/12/2023 00:00:00,15/12/2023 00:00:00,1,"DDH",2023
"AD23-0499","QE",327379.97500000,8107697.78300000,3689.76200000,60.00000000,"AD2023","RC",15/12/2023 00:00:00,15/12/2023 00:00:00,1,"DDH",2023
"AD23-0500","QE",327361.28700000,8107699.04300000,3690.30500000,60.00000000,"AD2023","RC",14/12/2023 00:00:00,14/12/2023 00:00:00,1,"DDH",2023
"AD23-0501","QE",327339.95900000,8107694.89700000,3690.44700000,60.00000000,"AD2023","RC",12/12/2023 00:00:00,13/12/2023 00:00:00,1,"DDH",2023
