X,Y,ID
327121.431,8108683.244,MP72
326990.488,8108056.78,INFILL
327258.311,8108664.833,MP72
327357.058,8108678.819,MP72
328079.994,8107760.079,AD2023
328120.061,8107759.92,AD2023
328140.137,8107759.883,AD2023
328160.123,8107760.011,AD2023
328159.885,8107780.054,AD2023
328139.989,8107779.974,AD2023
328120.08,8107780.274,AD2023
328100.081,8107780.201,AD2023
328060.094,8107800.12,AD2023
328079.874,8107800.002,AD2023
328100.066,8107800.019,AD2023
328120.175,8107800.079,AD2023
328140.29,8107799.991,AD2023
328159.775,8107799.768,AD2023
328079.763,8107819.921,AD2023
328059.775,8107819.954,AD2023
326939.834,8107999.829,AD2023
326978.715,8108000.112,AD2023
327497.15,8107647.046,AD2023
327475.852,8107649.717,AD2023
327431.47,8107654.631,AD2023
327411.756,8107655.218,AD2023
327391.122,8107654.355,AD2023
327342.415,8107672.789,AD2023
327363.743,8107674.159,AD2023
327381.538,8107675.191,AD2023
327402.179,8107676.139,AD2023
327422.678,8107679.202,AD2023
327438.052,8107679.764,AD2023
327462.23,8107680.183,AD2023
327478.111,8107679.692,AD2023
327459.255,8107696.41,AD2023
327443.236,8107699.369,AD2023
327423.216,8107701.123,AD2023
327403.846,8107699.95,AD2023
327379.975,8107697.783,AD2023
327361.287,8107699.043,AD2023
327339.959,8107694.897,AD2023
327671.064,8108333.717,AD2023
327660.248,8108340.009,AD2023
327639.983,8108320.169,AD2023
327659.972,8108319.974,AD2023
326999.8,8108371,AD2023
326758.304,8108280.15,AD2023
326774.416,8108280.648,AD2023
326820.039,8108160.199,AD2023
326820.061,8108179.82,AD2023
326800.186,8108200.071,AD2023
326820.154,8108200.055,AD2023
326800.06,8108220.028,AD2023
326780.311,8108240.05,AD2023
326773.771,8108259.219,AD2023
326761.35,8108260.122,AD2023
326760.252,8108300.011,AD2023
326820.205,8108140.183,AD2023
326824.561,8108120.201,AD2023
326828.908,8108101.398,AD2023
327640.285,8108339.803,AD2023
326840.5,8108500.1,AD2023
326855.1,8108598,AD2023
326840,8108589,AD2023
326817.465,8108603.006,AD2023
326879.283,8108588.746,AD2023
326856.469,8108574.958,AD2023
326528.981,8108920.775,AD2024
326521.198,8108939.87,AD2024
326538.203,8108968.037,AD2024
326543.976,8108918.715,AD2024
326561.134,8108920.84,AD2024
326554.26,8108931.418,AD2024
326581.788,8108985.7,AD2024
326604.291,8108982.363,AD2024
326710.047,8108918.417,AD2024
326623.55,8108939.558,AD2024
326646.265,8108936.659,AD2024
326723.592,8108913.203,AD2024
326739.607,8108908.66,AD2024
326759.467,8108903.671,AD2024
326776.75,8108899.051,AD2024
326815.2,8108889.13,AD2024
